,Date,Description,Amount,Fees,Net,Total,Details,Name
73,2024-03-29,Shipping label,-$4.43,,-$4.43,$39.32,,
74,2024-03-29,Order,$33.95,-$5.31,$28.64,$43.75,,CAbi New Complete Top #4552 Size S
75,2024-03-29,Payout,,,-$64.25,$15.11,,
76,2024-03-28,Ad Fee Standard,,-$1.92,-$1.92,$79.36,,
77,2024-03-28,Shipping label,-$4.55,,-$4.55,$81.28,,
78,2024-03-28,Order,$18.05,-$2.94,$15.11,$85.83,,Duke’s Malibu Men’s T Shirt Large Vintage Single Stitch Hanes Beefy T
79,2024-03-27,Shipping label,-$11.97,,-$11.97,$70.72,,
80,2024-03-27,Order,$61.40,-$8.89,$52.51,$82.69,,CAbi Zip Cardigan #4466 | Size M | Color Heather Oatmeal
81,2024-03-27,Shipping label,-$4.43,,-$4.43,$30.18,,
82,2024-03-27,Order,$40.95,-$6.34,$34.61,$34.61,,CAbi Bitmap Top #6317 Size M
83,2024-03-26,Payout,,,-$47.88,$0.00,,
84,2024-03-25,Shipping label,-$6.09,,-$6.09,$47.88,,
85,2024-03-25,Payout,,,-$38.87,$53.97,,
86,2024-03-24,Order,$63.60,-$9.63,$53.97,$92.84,,CAbi Coming Up Roses Cardigan #4465 Size M
87,2024-03-24,Payout,,,-$30.58,$38.87,,
88,2024-03-23,Shipping label,-$4.31,,-$4.31,$69.45,,
89,2024-03-23,Order,$45.85,-$6.98,$38.87,$73.76,,CAbi Voyage Blouse #4535 Size M
90,2024-03-23,Payout,,,-$6.24,$34.89,,
91,2024-03-22,Shipping label,-$4.47,,-$4.47,$41.13,,
